
chapter_number,section_label,character,event_or_detail,category,theme,emotion_tag,intensity,why_it_hits,foreshadowing_flag,revelation_flag,cross_ref,evidence_snippet
30,Chapter 030,Kania & Frey,"Kania bribes the investigation chief and Dean Lionel to cover up the duel kidnapping, revealing deep corruption as rumors paint Frey as the mastermind.",major_beat,corruption,disgust,3,Shows the Empire’s rot and Frey’s willingness to accept blame to protect others.,no,no,Links to earlier bribery in Ch. 1 and corruption arc,
30,Chapter 030,Frey,"Irina kneels before Frey, begging him to spare her life; he plays the villain, throws clothes at her, and uses dark mana to hide his wounds, while she examines him suspiciously.",major_beat,manipulation,tension,4,Highlights their complex relationship and Frey’s need to maintain his facade even when it pains him.,no,no,Connects to earlier Ch. 18–19 where Irina suspects Frey.,
30,Chapter 030,Isolet & Frey,"Isolet confronts Frey about the kidnapping rumors; he admits orchestrating the abduction to add sex slaves, prompting her to beat him brutally until all concern for him is replaced by rage.",major_beat,sacrifice,pain,5,"Frey endures physical abuse to remove Isolet’s concern, showing extreme self‑sacrifice.",no,no,Relates back to Prologue’s system penalty that harms those who care about him.,
30,Chapter 030,Frey & Arianne’s sister,"At the duke’s mansion Frey kicks Arianne’s sister to the ground when she pleads for mercy, threatening her while servants watch.",major_beat,intimidation,cruelty,2,Demonstrates Frey’s ongoing need to act abhorrent in front of witnesses to accumulate false evil points.,no,no,Echoes Frey’s treatment of beggars in Ch. 9.,
30,Chapter 030,Frey & Kadia,Frey secretly feeds Kadia the Elixir of Potential to awaken her healing power so she can later cure Kania’s curse.,foreshadowing_seed,hope,hope,3,"Prepares the ground for Kadia to become a healer, offering hope that Kania’s curse can be lifted.",yes,no,Speculative link to Ch. 21 life‑force transfer and upcoming healing arc.,
30,Chapter 030,Aria & Frey,"Aria storms in and accuses Frey of causing their father’s collapse and their mother’s death, saying he should have died instead.",major_beat,family conflict,guilt,4,The confrontation underscores Frey’s deep guilt and how his family has been torn apart by his actions.,no,no,Links back to Prologue’s tragedy and Ch. 15 letter from his father.,
30,Chapter 030,Serena & Tower Master,"Serena meets the Magic Tower Master to ask for her memories to be erased and to be bound by absolute obedience magic to Frey, claiming she plans to deceive the Sun God.",foreshadowing_seed,manipulation,intrigue,5,"Her shocking request hints at a grand scheme involving memory manipulation and obedience, foreshadowing a major twist.",yes,no,Speculative link to the Prologue penalty where heroines retain memories and to Kania’s mind‑manipulation.,
30,Chapter 030,Aria & Frey,"While serving as Provisional Lord, Frey gains false evil points from intimidating servants and is pleased when Isolet’s concern disappears, but notes Kania remains the only one who worries about him.",major_beat,loneliness,bitterness,3,Shows the emotional cost of his path: he isolates himself deliberately and feels bitter knowing only Kania still cares.,no,no,Relates to system penalty and Prologue vow to bear hatred alone.,
31,Chapter 031,Frey & Kania,"After being beaten by Isolet, Frey wakes in his childhood room and both he and Kania apologise, revealing shared guilt and unresolved burdens.",major_beat,guilt,remorse,3,Their mutual apologies hint at deeper secrets and foreshadow Kania’s hidden actions.,no,no,Speculative link to Kania’s unknown use of black magic from Ch. 30.,
31,Chapter 031,Aria & Frey,"Aria confronts Frey in his room, gathers stellar mana, and is restrained only when Frey calls knights; she accuses him of usurping their father’s position and causing his collapse.",major_beat,family conflict,anger,4,Highlights the escalating sibling rivalry and underscores the consequences of Frey’s actions on his family.,no,no,Connects to Chapter 30 accusation and the father’s coma revealed earlier.,
